1,1,1,NSLP,2009,579880

2,2,1,NSLP,2009,53554
3,3,1,NSLP,2009,655498
4,4,1,NSLP,2009,351950
5,5,1,NSLP,2009,3175063
6,6,1,NSLP,2009,390868
7,7,1,NSLP,2009,302997
8,8,1,NSLP,2009,90073
9,9,1,NSLP,2009,1560392
10,10,1,NSLP,2009,1290996
11,11,1,NSLP,2009,103807
12,12,1,NSLP,2009,170003
13,13,1,NSLP,2009,1148891
14,14,1,NSLP,2009,788167
15,15,1,NSLP,2009,394391
16,16,1,NSLP,2009,356495
17,17,1,NSLP,2009,570755
18,18,1,NSLP,2009,586936
19,19,1,NSLP,2009,107734
20,20,1,NSLP,2009,432643
21,21,1,NSLP,2009,547582
22,22,1,NSLP,2009,911466
23,23,1,NSLP,2009,615043
24,24,1,NSLP,2009,405716
25,25,1,NSLP,2009,645262
26,26,1,NSLP,2009,86652
27,27,1,NSLP,2009,243466
28,28,1,NSLP,2009,183808
29,29,1,NSLP,2009,110811
30,30,1,NSLP,2009,705558
31,31,1,NSLP,2009,221822
32,32,1,NSLP,2009,1812488
33,33,1,NSLP,2009,961612
34,34,1,NSLP,2009,80924
35,35,1,NSLP,2009,1120056
36,36,1,NSLP,2009,437660
37,37,1,NSLP,2009,310817
38,38,1,NSLP,2009,1150819
39,39,1,NSLP,2009,79017
40,40,1,NSLP,2009,500742
41,41,1,NSLP,2009,106266
42,42,1,NSLP,2009,692008
43,43,1,NSLP,2009,3254249
44,44,1,NSLP,2009,337710
45,45,1,NSLP,2009,54859
46,46,1,NSLP,2009,752709
47,47,1,NSLP,2009,532526
48,48,1,NSLP,2009,207758
49,49,1,NSLP,2009,594850
50,50,1,NSLP,2009,56424
51,1,1,NSLP,2011,571291
52,2,1,NSLP,2011,54410
53,3,1,NSLP,2011,661437
54,4,1,NSLP,2011,352818
55,5,1,NSLP,2011,3281699
56,6,1,NSLP,2011,399393
57,7,1,NSLP,2011,301545
58,8,1,NSLP,2011,94722
59,9,1,NSLP,2011,1648792
60,10,1,NSLP,2011,1301069
61,11,1,NSLP,2011,115694
62,12,1,NSLP,2011,170852
63,13,1,NSLP,2011,1162998
64,14,1,NSLP,2011,807689
65,15,1,NSLP,2011,396894
